Num,Date,Time,Temp,Lux
33,6/11/2013,12:00:00 fm,10.161,0
34,6/11/2013,12:30:00 fm,10.063,0
35,6/11/2013,01:00:00 fm,9.965,0
36,6/11/2013,01:30:00 fm,9.768,0
37,6/11/2013,02:00:00 fm,9.669,10.8
38,6/11/2013,02:30:00 fm,9.571,43.1
39,6/11/2013,03:00:00 fm,9.472,139.9
40,6/11/2013,03:30:00 fm,9.373,322.9
41,6/11/2013,04:00:00 fm,9.275,731.9
42,6/11/2013,04:30:00 fm,9.176,678.1
43,6/11/2013,05:00:00 fm,9.176,2927.80
44,6/11/2013,05:30:00 fm,9.176,1550.00
45,6/11/2013,06:00:00 fm,9.176,1980.60
46,6/11/2013,06:30:00 fm,9.176,3961.10
47,6/11/2013,07:00:00 fm,9.275,4305.60
48,6/11/2013,07:30:00 fm,9.275,3100.00
49,6/11/2013,08:00:00 fm,9.373,5511.10
50,6/11/2013,08:30:00 fm,9.373,3616.70
51,6/11/2013,09:00:00 fm,9.472,8266.70
52,6/11/2013,09:30:00 fm,9.669,6200.00
53,6/11/2013,10:00:00 fm,9.669,5166.70
54,6/11/2013,10:30:00 fm,9.669,4994.50
55,6/11/2013,11:00:00 fm,9.669,6544.50
56,6/11/2013,11:30:00 fm,9.866,7577.80
57,6/11/2013,12:00:00 em,9.866,4994.50
58,6/11/2013,12:30:00 em,9.768,5166.70
59,6/11/2013,01:00:00 em,10.063,14466.80
60,6/11/2013,01:30:00 em,10.259,9300.10
61,6/11/2013,02:00:00 em,10.357,10677.80
62,6/11/2013,02:30:00 em,10.161,5511.10
63,6/11/2013,03:00:00 em,10.259,5511.10
64,6/11/2013,03:30:00 em,10.455,6544.50
65,6/11/2013,04:00:00 em,10.553,8266.70
66,6/11/2013,04:30:00 em,10.455,2411.10
67,6/11/2013,05:00:00 em,10.357,4477.80
68,6/11/2013,05:30:00 em,10.455,8611.20
69,6/11/2013,06:00:00 em,10.553,4994.50
70,6/11/2013,06:30:00 em,10.357,3616.70
71,6/11/2013,07:00:00 em,10.357,7577.80
72,6/11/2013,07:30:00 em,10.357,5338.90
73,6/11/2013,08:00:00 em,10.259,1636.10
74,6/11/2013,08:30:00 em,10.063,1280.90
75,6/11/2013,09:00:00 em,9.965,570.5
76,6/11/2013,09:30:00 em,9.866,549
77,6/11/2013,10:00:00 em,9.768,484.4
78,6/11/2013,10:30:00 em,9.669,366
79,6/11/2013,11:00:00 em,9.571,64.6
80,6/11/2013,11:30:00 em,9.373,43.1
81,6/12/2013,12:00:00 fm,9.176,10.8
82,6/12/2013,12:30:00 fm,8.978,0
83,6/12/2013,01:00:00 fm,8.779,0
84,6/12/2013,01:30:00 fm,8.68,0
85,6/12/2013,02:00:00 fm,8.581,21.5
86,6/12/2013,02:30:00 fm,8.382,64.6
87,6/12/2013,03:00:00 fm,8.282,118.4
88,6/12/2013,03:30:00 fm,8.082,290.6
89,6/12/2013,04:00:00 fm,7.983,549
90,6/12/2013,04:30:00 fm,7.983,753.5
91,6/12/2013,05:00:00 fm,7.882,1184.00
92,6/12/2013,05:30:00 fm,7.983,2755.60
93,6/12/2013,06:00:00 fm,8.082,3100.00
94,6/12/2013,06:30:00 fm,7.983,1722.20
95,6/12/2013,07:00:00 fm,8.082,4305.60
96,6/12/2013,07:30:00 fm,8.282,5338.90
97,6/12/2013,08:00:00 fm,8.581,4133.40
98,6/12/2013,08:30:00 fm,8.581,5511.10
99,6/12/2013,09:00:00 fm,8.68,9300.10
100,6/12/2013,09:30:00 fm,8.978,6200.00
101,6/12/2013,10:00:00 fm,8.879,4822.30
102,6/12/2013,10:30:00 fm,9.176,3444.50
103,6/12/2013,11:00:00 fm,8.978,3961.10
104,6/12/2013,11:30:00 fm,8.978,4133.40
105,6/12/2013,12:00:00 em,10.063,6544.50
106,6/12/2013,12:30:00 em,9.965,3272.20
107,6/12/2013,01:00:00 em,9.669,5511.10
108,6/12/2013,01:30:00 em,9.669,3444.50
109,6/12/2013,02:00:00 em,9.866,4994.50
110,6/12/2013,02:30:00 em,9.965,5511.10
111,6/12/2013,03:00:00 em,10.161,8611.20
112,6/12/2013,03:30:00 em,10.259,7233.40
113,6/12/2013,04:00:00 em,10.259,8266.70
114,6/12/2013,04:30:00 em,10.455,4305.60
115,6/12/2013,05:00:00 em,10.455,6200.00
116,6/12/2013,05:30:00 em,10.455,6544.50
117,6/12/2013,06:00:00 em,10.357,3100.00
118,6/12/2013,06:30:00 em,10.357,2583.40
119,6/12/2013,07:00:00 em,10.357,4650.00
120,6/12/2013,07:30:00 em,10.259,3616.70
121,6/12/2013,08:00:00 em,10.063,2152.80
122,6/12/2013,08:30:00 em,9.965,1463.90
123,6/12/2013,09:00:00 em,9.768,1194.80
124,6/12/2013,09:30:00 em,9.669,290.6
125,6/12/2013,10:00:00 em,9.571,236.8
126,6/12/2013,10:30:00 em,9.373,183
127,6/12/2013,11:00:00 em,9.176,75.3
128,6/12/2013,11:30:00 em,8.978,32.3
129,6/13/2013,12:00:00 fm,8.779,10.8
130,6/13/2013,12:30:00 fm,8.581,0
131,6/13/2013,01:00:00 fm,8.382,0
132,6/13/2013,01:30:00 fm,8.282,10.8
133,6/13/2013,02:00:00 fm,8.082,21.5
134,6/13/2013,02:30:00 fm,7.983,64.6
135,6/13/2013,03:00:00 fm,7.882,226
136,6/13/2013,03:30:00 fm,7.782,355.2
137,6/13/2013,04:00:00 fm,7.682,731.9
138,6/13/2013,04:30:00 fm,7.682,1033.30
139,6/13/2013,05:00:00 fm,7.582,1377.80
140,6/13/2013,05:30:00 fm,7.582,1377.80
141,6/13/2013,06:00:00 fm,7.582,2066.70
142,6/13/2013,06:30:00 fm,7.582,3444.50
143,6/13/2013,07:00:00 fm,7.682,2497.20
144,6/13/2013,07:30:00 fm,7.782,3788.90
145,6/13/2013,08:00:00 fm,7.882,4133.40
146,6/13/2013,08:30:00 fm,8.082,4822.30
147,6/13/2013,09:00:00 fm,8.382,7577.80
148,6/13/2013,09:30:00 fm,8.68,7577.80
149,6/13/2013,10:00:00 fm,8.779,6544.50
150,6/13/2013,10:30:00 fm,8.879,6544.50
151,6/13/2013,11:00:00 fm,8.978,7233.40
152,6/13/2013,11:30:00 fm,9.176,3444.50
153,6/13/2013,12:00:00 em,9.275,4477.80
154,6/13/2013,12:30:00 em,9.373,9644.50
155,6/13/2013,01:00:00 em,9.669,7577.80
156,6/13/2013,01:30:00 em,9.768,7577.80
157,6/13/2013,02:00:00 em,9.866,7577.80
158,6/13/2013,02:30:00 em,9.965,3100.00
159,6/13/2013,03:00:00 em,9.866,3616.70
160,6/13/2013,03:30:00 em,9.866,5166.70
161,6/13/2013,04:00:00 em,9.866,2755.60
162,6/13/2013,04:30:00 em,9.768,818.1
163,6/13/2013,05:00:00 em,9.669,1463.90
164,6/13/2013,05:30:00 em,9.669,1345.50
165,6/13/2013,06:00:00 em,9.669,1259.40
166,6/13/2013,06:30:00 em,9.669,688.9
167,6/13/2013,07:00:00 em,9.571,1550.00
168,6/13/2013,07:30:00 em,9.571,495.1
169,6/13/2013,08:00:00 em,9.571,731.9
170,6/13/2013,08:30:00 em,9.571,161.5
171,6/13/2013,09:00:00 em,9.472,279.9
172,6/13/2013,09:30:00 em,9.472,161.5
173,6/13/2013,10:00:00 em,9.373,75.3
174,6/13/2013,10:30:00 em,9.373,64.6
175,6/13/2013,11:00:00 em,9.275,0
176,6/13/2013,11:30:00 em,9.176,0
177,6/14/2013,12:00:00 fm,9.176,0
178,6/14/2013,12:30:00 fm,9.077,0
179,6/14/2013,01:00:00 fm,9.077,0
180,6/14/2013,01:30:00 fm,8.978,0
181,6/14/2013,02:00:00 fm,8.879,0
182,6/14/2013,02:30:00 fm,8.879,0
183,6/14/2013,03:00:00 fm,8.779,32.3
184,6/14/2013,03:30:00 fm,8.779,150.7
185,6/14/2013,04:00:00 fm,8.68,258.3
186,6/14/2013,04:30:00 fm,8.68,990.3
187,6/14/2013,05:00:00 fm,8.581,581.3
188,6/14/2013,05:30:00 fm,8.581,699.7
189,6/14/2013,06:00:00 fm,8.581,764.2
190,6/14/2013,06:30:00 fm,8.581,1216.30
191,6/14/2013,07:00:00 fm,8.581,1248.60
192,6/14/2013,07:30:00 fm,8.581,1227.10
193,6/14/2013,08:00:00 fm,8.581,775
194,6/14/2013,08:30:00 fm,8.581,1894.50
195,6/14/2013,09:00:00 fm,8.581,1722.20
196,6/14/2013,09:30:00 fm,8.581,2755.60
197,6/14/2013,10:00:00 fm,8.779,3788.90
198,6/14/2013,10:30:00 fm,8.779,4822.30
199,6/14/2013,11:00:00 fm,8.879,3100.00
200,6/14/2013,11:30:00 fm,8.978,3100.00
201,6/14/2013,12:00:00 em,8.978,2583.40
202,6/14/2013,12:30:00 em,9.077,2411.10
203,6/14/2013,01:00:00 em,9.077,4994.50
204,6/14/2013,01:30:00 em,9.176,4994.50
205,6/14/2013,02:00:00 em,9.373,5511.10
